Bada Bing,Flower,,Bada Bing Flower 1/8 oz,Flower,1/8 oz,Bada Bing
Birthday Face [1g],pre-roll,Pre Roll,Birthday Face Pre Roll Single,Pre Roll,Single,Birthday Face
Blood Moon [500mg],vape,Rosin Disposable,Blood Moon Vapes Disposable,Vapes,Disposable,Blood Moon
Cake Face Pre-Roll [1g],Pre-Rolls,,Cake Face Pre Roll Single,Pre Roll,Single,Cake Face
Cloud 9ine Flight Bites (100mg),edible,Flight Bites,Cloud 9ine Edibles Flight Bites,Edibles,Flight Bites,Cloud 9ine
Collins Ave [500mg],vape,Rosin Disposable,Collins Ave. Vapes Disposable,Vapes,Disposable,Collins Ave.
Collin's Ave Hash Rosin Disposable [500mg],Vaporizers,,Collins Ave. Vapes Disposable,Vapes,Disposable,Collins Ave.
Cosa Nostra,vape,Cured Rosin Cartridge,Cosa Nostra Vapes Cured 510 Cart,Vapes,Cured 510 Cart,Cosa Nostra
Cosa Nostra Cured Rosin Cartridge [500mg],Vaporizers,,Cosa Nostra Vapes Cured 510 Cart,Vapes,Cured 510 Cart,Cosa Nostra
Cosa Nostra Pre-Roll | 1g,Pre-Rolls,,Cosa Nostra Pre Roll Single,Pre Roll,Single,Cosa Nostra
Cream Cookies [1g],pre-roll,Pre Roll,Cream Cookies Pre Roll Single,Pre Roll,Single,Cream Cookies
Cream Cookiez [1g],pre-roll,Pre Roll,Cream Cookies Pre Roll Single,Pre Roll,Single,Cream Cookies
Cream Cookiez Cake [1g],pre-roll,Pre Roll,Cream Cookies Cake Pre Roll Single,Pre Roll,Single,Cream Cookies Cake
Double Down,Flower,,Double Down Flower 1/8 oz,Flower,1/8 oz,Double Down
Double Down [1g],pre-roll,Pre Roll,Double Down Pre Roll Single,Pre Roll,Single,Double Down
Double Down 1pk,Pre-Rolls,,Double Down Pre Roll Single,Pre Roll,Single,Double Down
Double Down 1pk 1g,Pre-Rolls,,Double Down Pre Roll Single,Pre Roll,Single,Double Down
Double Down (3.5g),Flower,Flower,Double Down Flower 1/8 oz,Flower,1/8 oz,Double Down
Double Down [3.5g],Flower,,Double Down Flower 1/8 oz,Flower,1/8 oz,Double Down
Double Down Pre-Roll [1g],Pre-Rolls,,Double Down Pre Roll Single,Pre Roll,Single,Double Down
Electric Lemonade (100mg),edible,Flight Bites,Electric Lemonade Edibles Flight Bites,Edibles,Flight Bites,Electric Lemonade
Family Ties,"flower, Flower, Flower 54",", Flower 54, None",Family Ties Flower 1/8 oz,Flower,1/8 oz,Family Ties
Family Ties [1g],pre-roll,Pre Roll,Family Ties Pre Roll Single,Pre Roll,Single,Family Ties
Family Ties 1pk,Pre-Rolls,,Family Ties Pre Roll Single,Pre Roll,Single,Family Ties
Family Ties [3.5g],Flower,,Family Ties Flower 1/8 oz,Flower,1/8 oz,Family Ties
Family Ties Hash Rosin Infused Pre-Roll [1g],Pre-Rolls,,Family Ties Infused Pre-Roll 1g IPR,Infused Pre-Roll,1g IPR,Family Ties
Flight Bites Gummies Hash Rosin Rainbow Crunch 100mg 10pk,Edible,,Rainbow Crunch Edibles Flight Bites,Edibles,Flight Bites,Rainbow Crunch
Flight Bites Gummies Hash Rosin Strawberry Shortcake 100mg 10pk,Edible,,Strawberry Shortcake Edibles Flight Bites,Edibles,Flight Bites,Strawberry Shortcake
Flight Bites Gummies Hash Rosin Sunset Punch 100mg 10pk,Edible,,Sunset Punch Edibles Flight Bites,Edibles,Flight Bites,Sunset Punch
Flight Bites Rainbow Crunch Rosin Gummies 100mg,Edible,,Rainbow Crunch Edibles Flight Bites,Edibles,Flight Bites,Rainbow Crunch
Flight Bites Strawberry Shortcake Rosin Gummies 100mg,Edible,,Strawberry Shortcake Edibles Flight Bites,Edibles,Flight Bites,Strawberry Shortcake
Flight Bites Sunset Punch Rosin Gummies 100mg,Edible,,Sunset Punch Edibles Flight Bites,Edibles,Flight Bites,Sunset Punch
Gelato,Flower,,Gelato Flower 1/8 oz,Flower,1/8 oz,Gelato
Gelato Mintz Hash Rosin Infused Preroll (1G),Infused Preroll,Infused Preroll,Gelato Mintz Infused Pre-Roll 1g IPR,Infused Pre-Roll,1g IPR,Gelato Mintz
